year,playerName,team,totalCash
2017,Jeremy Clark,jets,496413
2018,Jeremy Clark,jets,555000
2019,Jeremy Clark,jets,645000
2020,Jeremy Clark,jets,735000
2015,Darius Jennings,browns,51176
2015,Darius Jennings,browns,79200
2015,Darius Jennings,browns,51176
2016,Darius Jennings,browns,27600
2016,Darius Jennings,bears,6900
2016,Darius Jennings,jets,27600
2017,Darius Jennings,titans,476475
2017,Darius Jennings,titans,14400
2013,Bradley McDougald,chiefs,160941
2013,Bradley McDougald,buccaneers,190588
2013,Bradley McDougald,chiefs,7500
2014,Bradley McDougald,buccaneers,495000
2015,Bradley McDougald,buccaneers,807054
2016,Bradley McDougald,buccaneers,2553000
2017,Bradley McDougald,seahawks,2000000
2017,Andrew Jelks,patriots,465000
2018,Andrew Jelks,patriots,555000
2019,Andrew Jelks,patriots,645000
2011,Chris Culliver,49ers,973876
2012,Chris Culliver,49ers,465000
2013,Chris Culliver,49ers,555000
2014,Chris Culliver,49ers,1431000
2015,Chris Culliver,commanders,7833948
2016,Chris Culliver,dolphins,873117
2017,Chris Culliver,colts,775000
2017,Keith Towbridge,buffalo,465000
2018,Keith Towbridge,buffalo,555000
2019,Keith Towbridge,buffalo,645000
2017,Matt Godin,texans,356000
2018,Matt Godin,texans,555000
2019,Matt Godin,texans,645000
2018,Johnathan Ford,cardinals,555000
2017,Johnathan Ford,cardinals,605181
2019,Johnathan Ford,cardinals,645000
2020,Johnathan Ford,cardinals,735000
2017,Randall Goforth,eagles,465000
2018,Randall Goforth,eagles,555000
2019,Randall Goforth,eagles,645000
2014,Cornelius Lucas,lions,596153
2015,Cornelius Lucas,lions,510000
2017,Cornelius Lucas,rams,649411
2016,Cornelius Lucas,lions,600000
2015,Clayton Geathers,colts,968930
2016,Clayton Geathers,colts,525000
2017,Clayton Geathers,colts,615000
2018,Clayton Geathers,colts,705000
2017,Kyle Sloter,broncos,3000
2017,Kyle Sloter,vikings,20000
2017,Kyle Sloter,vikings,437647
2013,Will Compton,commanders,23823
2013,Will Compton,commanders,96000
2013,Will Compton,commanders,5000
2014,Will Compton,commanders,617014
2015,Will Compton,commanders,732465
2016,Will Compton,commanders,851511
2017,Will Compton,commanders,1797000
2017,R.J. Shelton,vikings,353000
2018,R.J. Shelton,vikings,555000
2019,R.J. Shelton,vikings,645000
2014,Trent Murphy,commanders,2032973
2015,Trent Murphy,commanders,733819
2016,Trent Murphy,commanders,926145
2017,Trent Murphy,commanders,1029927
2016,Su'a Cravens,commanders,1872522
2017,Su'a Cravens,commanders,651408
2018,Su'a Cravens,commanders,852815
2019,Su'a Cravens,commanders,1054223
2013,Eric Kush,chiefs,530116
2014,Eric Kush,chiefs,503000
2015,Eric Kush,chiefs,8500
2015,Eric Kush,buccaneers,34411
2015,Eric Kush,panthers,39600
2015,Eric Kush,rams,255192
2016,Eric Kush,bears,675000
2017,Eric Kush,bears,1300000
2018,Eric Kush,bears,1400000
2008,Harry Douglas,falcons,999050
2009,Harry Douglas,falcons,385000
2010,Harry Douglas,falcons,470000
2011,Harry Douglas,falcons,1200000
2012,Harry Douglas,falcons,3500000
2013,Harry Douglas,falcons,2750000
2014,Harry Douglas,falcons,2750000
2015,Harry Douglas,titans,3798852
2016,Harry Douglas,titans,2000000
2017,Harry Douglas,titans,1609375
2017,Evan Panfil,buccaneers,465000
2018,Evan Panfil,buccaneers,555000
2019,Evan Panfil,buccaneers,645000
2016,DeAndre Elliot,seahawks,460000
2017,DeAndre Elliot,seahawks,363000
2018,DeAndre Elliot,seahawks,630000
2014,Scott Simonson,raiders,420000
2014,Scott Simonson,raiders,81900
2015,Scott Simonson,panthers,330000
2014,Scott Simonson,raiders,1000
2015,Scott Simonson,panthers,46200
2016,Scott Simonson,panthers,176470
2016,Scott Simonson,panthers,61674
2016,Scott Simonson,panthers,55200
2017,Scott Simonson,panthers,690000
2010,Joe Hawley,falcons,803180
2011,Joe Hawley,falcons,405000
2012,Joe Hawley,falcons,540000
2013,Joe Hawley,falcons,630000
2014,Joe Hawley,falcons,3000000
2015,Joe Hawley,buccaneers,1386011
2016,Joe Hawley,buccaneers,3500000
2017,Joe Hawley,buccaneers,3000000
2018,Joe Hawley,buccaneers,2500000
2015,B.J. Finney,steelers,10000
2015,B.J. Finney,steelers,92400
2016,B.J. Finney,steelers,450000
2017,B.J. Finney,steelers,540000
2011,Derek Newton,texans,435256
2012,Derek Newton,texans,465000
2013,Derek Newton,texans,555000
2014,Derek Newton,texans,1431000
2015,Derek Newton,texans,7500000
2016,Derek Newton,texans,4750000
2017,Derek Newton,texans,2250000
2018,Derek Newton,texans,4750000
2019,Derek Newton,texans,3000000
2015,Shane Ray,broncos,5326923
2016,Shane Ray,broncos,849496
2017,Shane Ray,broncos,1263991
2018,Shane Ray,broncos,1678484
2013,Chris Gragg,buffalo,464175
2014,Chris Gragg,buffalo,495000
2015,Chris Gragg,buffalo,585000
2016,Chris Gragg,buffalo,675000
2017,Chris Gragg,jets,690000
2016,D.J. Reader,texans,824380
2017,D.J. Reader,texans,540000
2018,D.J. Reader,texans,630000
2019,D.J. Reader,texans,720000
2016,Tajae Sharpe,titans,724884
2017,Tajae Sharpe,titans,540000
2018,Tajae Sharpe,titans,630000
2019,Tajae Sharpe,titans,720000
2017,Nathan Peterman,buffalo,704499
2018,Nathan Peterman,buffalo,555000
2019,Nathan Peterman,buffalo,645000
2020,Nathan Peterman,buffalo,735000
2018,Raekwon McMillan,dolphins,678524
2017,Raekwon McMillan,dolphins,1904390
2019,Raekwon McMillan,dolphins,892049
2020,Raekwon McMillan,dolphins,1105573
2017,Caleb Kidder,vikings,7500
2017,Caleb Kidder,patriots,465000
2015,T.J. Yeldon,jaguars,2995927
2016,T.J. Yeldon,jaguars,703809
2017,T.J. Yeldon,jaguars,972617
2018,T.J. Yeldon,jaguars,1241421
2015,Tyrus Thompson,vikings,147512
2015,Tyrus Thompson,jaguars,46200
2015,Tyrus Thompson,lions,52800
2016,Tyrus Thompson,saints,97940
2016,Tyrus Thompson,panthers,34500
2017,Tyrus Thompson,seahawks,348000
2014,Bishop Sankey,titans,1535272
2015,Bishop Sankey,titans,629842
2016,Bishop Sankey,patriots,80000
2016,Bishop Sankey,chiefs,105882
2016,Bishop Sankey,vikings,41400
2017,Bishop Sankey,vikings,690000
2012,Brandon Weeden,browns,4708000
2013,Brandon Weeden,browns,757436
2014,Brandon Weeden,browns,2044872
2014,Brandon Weeden,cowboys,570000
2015,Brandon Weeden,texans,271764
2015,Brandon Weeden,cowboys,388235
2016,Brandon Weeden,texans,1325000
2017,Brandon Weeden,titans,592647
2016,Victor Ochi,jets,6900
2016,Victor Ochi,jets,52940
2016,Victor Ochi,jets,34500
2016,Victor Ochi,jets,55200
2017,Victor Ochi,titans,540000
2016,John Theus,49ers,707614
2017,John Theus,panthers,508240
2017,John Theus,49ers,31764
2018,John Theus,panthers,630000
2019,John Theus,panthers,720000
2016,Quinton Jefferson,seahawks,634993
2017,Quinton Jefferson,rams,14400
2017,Quinton Jefferson,seahawks,412941
2016,Jack Allen,saints,89700
2016,Jack Allen,saints,105880
2017,Jack Allen,saints,540000
2010,Colt McCoy,browns,1141000
2011,Colt McCoy,browns,450000
2012,Colt McCoy,browns,540000
2013,Colt McCoy,49ers,630000
2014,Colt McCoy,commanders,795000
2015,Colt McCoy,commanders,1378677
2016,Colt McCoy,commanders,3000000
2017,Colt McCoy,commanders,3000000
2018,Colt McCoy,commanders,3000000
2016,Rico Gathers,cowboys,100356
2016,Rico Gathers,cowboys,117300
2017,Rico Gathers,cowboys,348000
2015,Kaleb Eulls,saints,466612
2016,Kaleb Eulls,chargers,96600
2016,Kaleb Eulls,chargers,92646
2017,Kaleb Eulls,chargers,615000
2015,Obum Gwacham,saints,505559
2015,Obum Gwacham,seahawks,90487
2016,Obum Gwacham,saints,379235
2017,Obum Gwacham,cardinals,28800
2017,Obum Gwacham,jets,470294
2017,Jarrod Harper,jaguars,348000
2016,Paxton Lynch,broncos,5541852
2017,Paxton Lynch,broncos,880741
2018,Paxton Lynch,broncos,1311481
2019,Paxton Lynch,broncos,1742222
2017,Forrest Lamp,chargers,3336669
2018,Forrest Lamp,chargers,768042
2019,Forrest Lamp,chargers,1071084
2020,Forrest Lamp,chargers,1374125
2009,Cedric Peerman,ravens,1090000
2010,Cedric Peerman,bengals,385000
2012,Cedric Peerman,bengals,540000
2013,Cedric Peerman,bengals,1115000
2014,Cedric Peerman,bengals,1050000
2015,Cedric Peerman,bengals,1045000
2016,Cedric Peerman,bengals,991250
2017,Cedric Peerman,bengals,1087500
2014,Tyler Gaffney,patriots,303000
2014,Tyler Gaffney,panthers,96600
2015,Tyler Gaffney,patriots,318000
2016,Tyler Gaffney,patriots,52940
2016,Tyler Gaffney,patriots,55200
2017,Tyler Gaffney,jaguars,615000
2014,Erik Swoope,colts,107100
2014,Erik Swoope,colts,5000
2015,Erik Swoope,colts,25588
2015,Erik Swoope,colts,105600
2016,Erik Swoope,colts,616000
2017,Erik Swoope,colts,363000
2016,Taylor Decker,lions,6625985
2017,Taylor Decker,lions,948499
2018,Taylor Decker,lions,1446998
2019,Taylor Decker,lions,1945498
2017,Dieugot Joseph,bears,17500
2017,Dieugot Joseph,bears,14400
2017,Dieugot Joseph,ravens,82058
2017,Dieugot Joseph,ravens,86400
2017,Corey Levin,titans,575014
2018,Corey Levin,titans,555000
2019,Corey Levin,titans,645000
2020,Corey Levin,titans,735000
2017,Jhajuan Seales,bears,15000
2017,Jhajuan Seales,buccaneers,465000
2011,Malcolm Smith,seahawks,420900
2012,Malcolm Smith,seahawks,465000
2013,Malcolm Smith,seahawks,555000
2014,Malcolm Smith,seahawks,645000
2015,Malcolm Smith,raiders,6037979
2016,Malcolm Smith,raiders,3000000
2017,Malcolm Smith,49ers,9300000
2018,Malcolm Smith,49ers,3300000
2019,Malcolm Smith,49ers,4050000
2020,Malcolm Smith,49ers,4700000
2021,Malcolm Smith,49ers,5150000
2014,Kevin Norwood,seahawks,840108
2015,Kevin Norwood,panthers,515396
2016,Kevin Norwood,chargers,27600
2016,Kevin Norwood,giants,55200
2017,Kevin Norwood,giants,615000
2017,Derek Rivers,patriots,1150896
2018,Derek Rivers,patriots,583000
2019,Derek Rivers,patriots,680000
2020,Derek Rivers,patriots,774000
2015,Isaiah Battle,rams,228864
2015,Isaiah Battle,rams,66000
2015,Isaiah Battle,rams,179117
2016,Isaiah Battle,rams,117300
2017,Isaiah Battle,seahawks,540000
2017,Isaiah Battle,chiefs,30000
2015,Lorenzo Mauldin,jets,1224561
2016,Lorenzo Mauldin,jets,543000
2017,Lorenzo Mauldin,jets,633000
2018,Lorenzo Mauldin,jets,723000
2016,Ronald Zamort,cardinals,13800
2017,Ronald Zamort,cardinals,348000
