time,population_total
1800,6801854
1801,6933516
1802,7067728
1803,7204537
1804,7343995
1805,7486152
1806,7631061
1807,7778775
1808,7929348
1809,8082835
1810,8239294
1811,8398781
1812,8561356
1813,8727077
1814,8896007
1815,9068206
1816,9243738
1817,9422669
1818,9605062
1819,9790987
1820,9980510
1821,10298969
1822,10625503
1823,10951077
1824,11276695
1825,11602355
1826,11928057
1827,12250905
1828,12580590
1829,12906416
1830,13240314
1831,13658580
1832,14077890
1833,14496235
1834,14914618
1835,15334042
1836,15752501
1837,16170997
1838,16590533
1839,17009101
1840,17443768
1841,18056100
1842,18667464
1843,19278865
1844,19890301
1845,20502776
1846,21114282
1847,21725822
1848,22337396
1849,22950007
1850,23579718
1851,24405303
1852,25230918
1853,26156953
1854,26882238
1855,27707943
1856,28534680
1857,29360442
1858,30186232
1859,31012051
1860,31838901
1861,32677742
1862,33515609
1863,34354509
1864,35192433
1865,36031388
1866,36869368
1867,37708378
1868,38546412
1869,39385476
1870,40240630
1871,41098000
1872,42136000
1873,43174000
1874,44212000
1875,45245000
1876,46287000
1877,47325000
1878,48362000
1879,49400000
1880,50458000
1881,51743000
1882,53027000
1883,54311000
1884,55595000
1885,56879000
1886,58164000
1887,59448000
1888,60732000
1889,62016000
1890,63302000
1891,64612000
1892,65922000
1893,67231000
1894,68541000
1895,69851000
1896,71161000
1897,72471000
1898,73781000
1899,75091000
1900,76391000
1901,77888000
1902,79469000
1903,80946000
1904,82485000
1905,84147000
1906,85770000
1907,87339000
1908,89055000
1909,90845000
1910,92767000
1911,94234000
1912,95703000
1913,97606000
1914,99505000
1915,100941000
1916,102364000
1917,103817000
1918,104958000
1919,105473000
1920,106881000
1921,108964000
1922,110484000
1923,112387000
1924,114558000
1925,116284000
1926,117857000
1927,119502001
1928,120971001
1929,122245001
1930,123668000
1931,124633000
1932,125436000
1933,126180000
1934,126978000
1935,127859000
1936,128681000
1937,129464000
1938,130476000
1939,131539000
1940,132637000
1941,133922000
1942,135386001
1943,137272000
1944,138937000
1945,140474001
1946,141940000
1947,144688000
1948,147202999
1949,149770000
1950,157813040
1951,159880756
1952,162280405
1953,164941716
1954,167800046
1955,170796378
1956,173877321
1957,176995108
1958,180107612
1959,183178348
1960,186176524
1961,189077076
1962,191860710
1963,194513911
1964,197028908
1965,199403532
1966,201629471
1967,203713082
1968,205687611
1969,207599308
1970,209485807
1971,211357912
1972,213219515
1973,215092900
1974,217001865
1975,218963561
1976,220993166
1977,223090871
1978,225239456
1979,227411604
1980,229588208
1981,231765783
1982,233953874
1983,236161961
1984,238404223
1985,240691557
1986,243032017
1987,245425409
1988,247865202
1989,250340795
1990,252847810
1991,255367160
1992,257908206
1993,260527420
1994,263301323
1995,266275528
1996,269483224
1997,272882865
1998,276354096
1999,279730801
2000,282895741
2001,285796198
2002,288470847
2003,291005482
2004,293530886
2005,296139635
2006,298860519
2007,301655953
2008,304473143
2009,307231961
2010,309876170
2011,312390368
2012,314799465
2013,317135919
2014,319448634
2015,321773631
2016,324118787
2017,326474013
2018,328835763
2019,331195364
2020,333545530
2021,335886746
2022,338219677
2023,340536605
2024,342827583
