"title","location","yearsofexperience","yearsatcompany","basesalary","gender","Race"
"Software Engineer","Pleasanton, CA",2,1,105228,"Male","Asian"
"Software Engineer","Pleasanton, CA",3,0,262119,NA,NA
"Software Engineer","Pleasanton, CA",5,1,147702,NA,NA
"Software Engineer","Pleasanton, CA",8,1,269335,NA,NA
"Software Engineer","Pleasanton, CA",0,0,291831,NA,NA
"Software Engineer","Mountain View, CA",0,0,266208,"Male",NA
"Software Engineer","Mountain View, CA",0,0,116666,"Male",NA
"Marketing","Mountain View, CA",10,4,186307,NA,NA
"Software Engineer","Sunnyvale, CA",10,1,302080,NA,NA
"Software Engineer","Mountain View, CA",0,0,119631,"Male","Asian"
"Software Engineer","New York, NY",24,2,230178,"Male","Black"
"Software Engineer","New York, NY",3,2,162225,"Male","White"
"Business Analyst","Brooklyn, NY",5,3,129246,"Male","White"
"Software Engineer","Brooklyn, NY",10,3,137097,"Male","White"
"Data Scientist","Saint Paul, MN",0,0,125834,"Male",NA
"Marketing","Saint Paul, MN",10,5,200247,NA,NA
"Data Scientist","Saint Paul, MN",2,2,122583,"Male","Asian"
"Software Engineer","Chicago, IL",5,5,206512,"Male","Asian"
"Software Engineer","Murray, UT",1,1,110073,"Male","Asian"
"Software Engineer","St Paul, MN",6,1,203881,"Male",NA
"Software Engineer","Silver Spring, MD",14,5,197258,"Female",NA
"Software Engineer","Meriden, CT",3,3,136744,NA,NA
"Software Engineer","Meriden, CT",6,6,169994,"Male",NA
"Software Engineer","Pittsburgh, PA",13,13,203842,"Male","White"
"Software Engineer","Albany, NY",15,10,231998,"Male","White"
"Software Engineer","Berlin, BE, Germany",10,1,176788,NA,NA
"Software Engineer","San Francisco, CA",15,2,250031,NA,NA
"Software Engineer","San Francisco, CA",6,0,163281,NA,NA
"Business Analyst","Portland, OR",5,1,191052,"Female",NA
"Software Engineer","San Francisco, CA",12,2,136099,"Male","White"
"Data Scientist","San Francisco, CA",6,2,256608,NA,NA
"Product Manager","San Francisco, CA",20,2,375167,NA,NA
"Software Engineer","Seattle, WA",6,3,227122,NA,NA
"Software Engineer","San Francisco, CA",5,1,158340,NA,NA
"Software Engineer","San Francisco, CA",13,4,133317,NA,NA
"Product Designer","San Francisco, CA",7,4,223598,NA,NA
"Software Engineer","San Francisco, CA",13,3,248246,NA,"Asian"
"Software Engineer","San Francisco, CA",2,0,124363,NA,NA
"Software Engineer","San Francisco, CA",8,2,184967,NA,NA
"Recruiter","San Francisco, CA",7,3,267575,NA,NA
"Data Scientist","San Francisco, CA",2,2,233389,"Female","Asian"
"Data Scientist","San Francisco, CA",3,1,203371,NA,NA
"Software Engineer","San Francisco, CA",3,0,334504,NA,NA
"Sales","San Francisco, CA",3,1,162351,"Female","White"
"Technical Program Manager","San Francisco, CA",5,1,230801,NA,NA
"Software Engineer","Seattle, WA",3,0,188548,"Female",NA
"Software Engineer","San Francisco, CA",8,4,82155,NA,NA
"Product Manager","San Francisco, CA",5,1,165845,"Female","White"
"Software Engineer","San Francisco, CA",9,0,305144,"Female","White"
"Recruiter","San Francisco, CA",10,1,215510,"Male","Black"
"Marketing","San Francisco, CA",6,1,241438,"Female",NA
"Software Engineer","San Francisco, CA",8,0,183911,NA,NA
"Software Engineer","San Francisco, CA",7,4,340034,NA,NA
"Software Engineer","San Francisco, CA",1,1,224187,NA,NA
"Product Manager","San Francisco, CA",12,2,254566,NA,NA
"Software Engineer","New York, NY",14,0,271963,"Male","Black"
"Software Engineer","Bangalore, KA, India",5,0,110769,"Male","Asian"
"Software Engineering Manager","Seattle, WA",5,3,280834,"Male","Asian"
"Software Engineer","San Francisco, CA",10,3,251290,NA,NA
"Technical Program Manager","Bangalore, KA, India",9,1,125573,"Female",NA
"Software Engineer","Seattle, WA",2,2,178221,"Male","Asian"
"Software Engineer","San Francisco, CA",0,0,223976,"Male","Asian"
"Software Engineer","Seattle, WA",10,0,185830,NA,NA
"Data Scientist","San Francisco, CA",10,2,149069,NA,NA
"Software Engineer","Seattle, WA",10,4,218943,NA,NA
"Software Engineer","San Francisco, CA",4,2,186182,NA,NA
"Product Manager","San Francisco, CA",7,1,351319,"Male",NA
"Software Engineer","San Francisco, CA",6,0,175334,NA,NA
"Product Manager","San Francisco, CA",15,1.5,118508,NA,NA
"Software Engineer","San Francisco, CA",5,1,304763,NA,NA
"Software Engineer","San Francisco, CA",3,3,198615,"Male",NA
"Software Engineer","Seattle, WA",2.5,0,250840,NA,NA
"Software Engineer","San Francisco, CA",10,0,169903,NA,NA
"Software Engineer","San Francisco, CA",2,0,137278,"Male",NA
"Software Engineer","San Francisco, CA",4,0,231709,"Male",NA
"Software Engineer","Hamburg, HH, Germany",7,3,177442,"Male","White"
"Software Engineer","Valbonne, PR, France",10,2,209291,"Male","White"
"Technical Program Manager","Ingolstadt, BY, Germany",14,10,106955,NA,NA
"Software Engineer","Toulouse, MI, France",3,3,185229,"Female","White"
